"id"	"cityid"	"countyname"	"weatherid"
"624"	"76"	"民权"	"CN101181004"
"625"	"76"	"虞城"	"CN101181005"
"626"	"76"	"柘城"	"CN101181006"
"627"	"76"	"宁陵"	"CN101181007"
"628"	"76"	"夏邑"	"CN101181008"
"629"	"76"	"永城"	"CN101181009"
"630"	"77"	"焦作"	"CN101181101"
"631"	"77"	"修武"	"CN101181102"
"632"	"77"	"武陟"	"CN101181103"
"633"	"77"	"沁阳"	"CN101181104"
"634"	"77"	"博爱"	"CN101181106"
"635"	"77"	"温县"	"CN101181107"
"636"	"77"	"孟州"	"CN101181108"
"637"	"78"	"鹤壁"	"CN101181201"
"638"	"78"	"浚县"	"CN101181202"
"639"	"78"	"淇县"	"CN101181203"
"640"	"79"	"濮阳"	"CN101181301"
"641"	"79"	"台前"	"CN101181302"
"642"	"79"	"南乐"	"CN101181303"
"643"	"79"	"清丰"	"CN101181304"
"644"	"79"	"范县"	"CN101181305"
"645"	"80"	"周口"	"CN101181401"
"646"	"80"	"扶沟"	"CN101181402"
"647"	"80"	"太康"	"CN101181403"
"648"	"80"	"淮阳"	"CN101181404"
"649"	"80"	"西华"	"CN101181405"
"650"	"80"	"商水"	"CN101181406"
"651"	"80"	"项城"	"CN101181407"
"652"	"80"	"郸城"	"CN101181408"
"653"	"80"	"鹿邑"	"CN101181409"
"654"	"80"	"沈丘"	"CN101181410"
"655"	"81"	"漯河"	"CN101181501"
"656"	"81"	"临颍"	"CN101181502"
"657"	"81"	"舞阳"	"CN101181503"
"658"	"82"	"驻马店"	"CN101181601"
"659"	"82"	"西平"	"CN101181602"
"660"	"82"	"遂平"	"CN101181603"
"661"	"82"	"上蔡"	"CN101181604"
"662"	"82"	"汝南"	"CN101181605"
"663"	"82"	"泌阳"	"CN101181606"
"664"	"82"	"平舆"	"CN101181607"
"665"	"82"	"新蔡"	"CN101181608"
"666"	"82"	"确山"	"CN101181609"
"667"	"82"	"正阳"	"CN101181610"
"668"	"83"	"三门峡"	"CN101181701"
"669"	"83"	"灵宝"	"CN101181702"
"670"	"83"	"渑池"	"CN101181703"
"671"	"83"	"卢氏"	"CN101181704"
"672"	"83"	"义马"	"CN101181705"
"673"	"83"	"陕县"	"CN101181706"
"674"	"84"	"济源"	"CN101181801"
"675"	"85"	"太原"	"CN101100101"
"676"	"85"	"清徐"	"CN101100102"
"677"	"85"	"阳曲"	"CN101100103"
"678"	"85"	"娄烦"	"CN101100104"
"679"	"85"	"古交"	"CN101100105"
"680"	"85"	"尖草坪区"	"CN101100106"
"681"	"85"	"小店区"	"CN101100107"
"682"	"86"	"大同"	"CN101100201"
"683"	"86"	"阳高"	"CN101100202"
"684"	"86"	"大同县"	"CN101100203"
"685"	"86"	"天镇"	"CN101100204"
"686"	"86"	"广灵"	"CN101100205"
"687"	"86"	"灵丘"	"CN101100206"
"688"	"86"	"浑源"	"CN101100207"
"689"	"86"	"左云"	"CN101100208"
"690"	"87"	"阳泉"	"CN101100301"
"691"	"87"	"盂县"	"CN101100302"
"692"	"87"	"平定"	"CN101100303"
"693"	"88"	"晋中"	"CN101100401"
"694"	"88"	"榆次"	"CN101100402"
"695"	"88"	"榆社"	"CN101100403"
"696"	"88"	"左权"	"CN101100404"
"697"	"88"	"和顺"	"CN101100405"
"698"	"88"	"昔阳"	"CN101100406"
"699"	"88"	"寿阳"	"CN101100407"
"700"	"88"	"太谷"	"CN101100408"
"701"	"88"	"祁县"	"CN101100409"
"702"	"88"	"平遥"	"CN101100410"
"703"	"88"	"灵石"	"CN101100411"
"704"	"88"	"介休"	"CN101100412"
"705"	"89"	"长治"	"CN101100501"
"706"	"89"	"黎城"	"CN101100502"
"707"	"89"	"屯留"	"CN101100503"
"708"	"89"	"潞城"	"CN101100504"
"709"	"89"	"襄垣"	"CN101100505"
"710"	"89"	"平顺"	"CN101100506"
"711"	"89"	"武乡"	"CN101100507"
"712"	"89"	"沁县"	"CN101100508"
"713"	"89"	"长子"	"CN101100509"
"714"	"89"	"沁源"	"CN101100510"
"715"	"89"	"壶关"	"CN101100511"
"716"	"90"	"晋城"	"CN101100601"
"717"	"90"	"沁水"	"CN101100602"
"718"	"90"	"阳城"	"CN101100603"
"719"	"90"	"陵川"	"CN101100604"
"720"	"90"	"高平"	"CN101100605"
"721"	"90"	"泽州"	"CN101100606"
"722"	"91"	"临汾"	"CN101100701"
"723"	"91"	"曲沃"	"CN101100702"
"724"	"91"	"永和"	"CN101100703"
"725"	"91"	"隰县"	"CN101100704"
"726"	"91"	"大宁"	"CN101100705"
"727"	"91"	"吉县"	"CN101100706"
"728"	"91"	"襄汾"	"CN101100707"
"729"	"91"	"蒲县"	"CN101100708"
"730"	"91"	"汾西"	"CN101100709"
"731"	"91"	"洪洞"	"CN101100710"
"732"	"91"	"霍州"	"CN101100711"
"733"	"91"	"乡宁"	"CN101100712"
"734"	"91"	"翼城"	"CN101100713"
"735"	"91"	"侯马"	"CN101100714"
"736"	"91"	"浮山"	"CN101100715"
"737"	"91"	"安泽"	"CN101100716"
"738"	"91"	"古县"	"CN101100717"
"739"	"92"	"运城"	"CN101100801"
"740"	"92"	"临猗"	"CN101100802"
"741"	"92"	"稷山"	"CN101100803"
"742"	"92"	"万荣"	"CN101100804"
"743"	"92"	"河津"	"CN101100805"
"744"	"92"	"新绛"	"CN101100806"
"745"	"92"	"绛县"	"CN101100807"
"746"	"92"	"闻喜"	"CN101100808"
"747"	"92"	"垣曲"	"CN101100809"
"748"	"92"	"永济"	"CN101100810"
"749"	"92"	"芮城"	"CN101100811"
"750"	"92"	"夏县"	"CN101100812"
"751"	"92"	"平陆"	"CN101100813"
"752"	"93"	"朔州"	"CN101100901"
"753"	"93"	"平鲁"	"CN101100902"
"754"	"93"	"山阴"	"CN101100903"
"755"	"93"	"右玉"	"CN101100904"
"756"	"93"	"应县"	"CN101100905"
"757"	"93"	"怀仁"	"CN101100906"
"758"	"94"	"忻州"	"CN101101001"
"759"	"94"	"定襄"	"CN101101002"
"760"	"94"	"五台县"	"CN101101003"
"761"	"94"	"河曲"	"CN101101004"
"762"	"94"	"偏关"	"CN101101005"
"763"	"94"	"神池"	"CN101101006"
"764"	"94"	"宁武"	"CN101101007"
"765"	"94"	"代县"	"CN101101008"
"766"	"94"	"繁峙"	"CN101101009"
"767"	"94"	"五台山"	"CN101101010"
"768"	"94"	"保德"	"CN101101011"
"769"	"94"	"静乐"	"CN101101012"
"770"	"94"	"岢岚"	"CN101101013"
"771"	"94"	"五寨"	"CN101101014"
"772"	"94"	"原平"	"CN101101015"
"773"	"95"	"离石"	"CN101101101"
"774"	"95"	"临县"	"CN101101102"
"775"	"95"	"兴县"	"CN101101103"
"776"	"95"	"岚县"	"CN101101104"
"777"	"95"	"柳林"	"CN101101105"
"778"	"95"	"石楼"	"CN101101106"
"779"	"95"	"方山"	"CN101101107"
"780"	"95"	"交口"	"CN101101108"
"781"	"95"	"中阳"	"CN101101109"
"782"	"95"	"孝义"	"CN101101110"
"783"	"95"	"汾阳"	"CN101101111"
"784"	"95"	"文水"	"CN101101112"
"785"	"95"	"交城"	"CN101101113"
"786"	"96"	"济南"	"CN101120101"
"787"	"96"	"长清"	"CN101120102"
"788"	"96"	"商河"	"CN101120103"
"789"	"96"	"章丘"	"CN101120104"
"790"	"96"	"平阴"	"CN101120105"
"791"	"96"	"济阳"	"CN101120106"
"792"	"97"	"青岛"	"CN101120201"
"793"	"97"	"崂山"	"CN101120202"
"794"	"97"	"即墨"	"CN101120204"
"795"	"97"	"胶州"	"CN101120205"
"796"	"97"	"黄岛"	"CN101120206"
"797"	"97"	"莱西"	"CN101120207"
"798"	"97"	"平度"	"CN101120208"
"799"	"98"	"淄博"	"CN101120301"
"800"	"98"	"淄川"	"CN101120302"
"801"	"98"	"博山"	"CN101120303"
"802"	"98"	"高青"	"CN101120304"
"803"	"98"	"周村"	"CN101120305"
"804"	"98"	"沂源"	"CN101120306"
"805"	"98"	"桓台"	"CN101120307"
"806"	"98"	"临淄"	"CN101120308"
"807"	"99"	"德州"	"CN101120401"
"808"	"99"	"武城"	"CN101120402"
"809"	"99"	"临邑"	"CN101120403"
"810"	"99"	"陵县"	"CN101120404"
"811"	"99"	"齐河"	"CN101120405"
"812"	"99"	"乐陵"	"CN101120406"
"813"	"99"	"庆云"	"CN101120407"
"814"	"99"	"平原"	"CN101120408"
"815"	"99"	"宁津"	"CN101120409"
"816"	"99"	"夏津"	"CN101120410"
"817"	"99"	"禹城"	"CN101120411"
"818"	"100"	"烟台"	"CN101120501"
"819"	"100"	"莱州"	"CN101120502"
"820"	"100"	"长岛"	"CN101120503"
"821"	"100"	"蓬莱"	"CN101120504"
"822"	"100"	"龙口"	"CN101120505"
"823"	"100"	"招远"	"CN101120506"
"824"	"100"	"栖霞"	"CN101120507"
"825"	"100"	"福山"	"CN101120508"
"826"	"100"	"牟平"	"CN101120509"
"827"	"100"	"莱阳"	"CN101120510"
"828"	"100"	"海阳"	"CN101120511"
"829"	"101"	"潍坊"	"CN101120601"
"830"	"101"	"青州"	"CN101120602"
"831"	"101"	"寿光"	"CN101120603"
"832"	"101"	"临朐"	"CN101120604"
"833"	"101"	"昌乐"	"CN101120605"
"834"	"101"	"昌邑"	"CN101120606"
"835"	"101"	"安丘"	"CN101120607"
"836"	"101"	"高密"	"CN101120608"
"837"	"101"	"诸城"	"CN101120609"
"838"	"102"	"济宁"	"CN101120701"
"839"	"102"	"嘉祥"	"CN101120702"
"840"	"102"	"微山"	"CN101120703"
"841"	"102"	"鱼台"	"CN101120704"
"842"	"102"	"兖州"	"CN101120705"
"843"	"102"	"金乡"	"CN101120706"
"844"	"102"	"汶上"	"CN101120707"
"845"	"102"	"泗水"	"CN101120708"
"846"	"102"	"梁山"	"CN101120709"
"847"	"102"	"曲阜"	"CN101120710"
"848"	"102"	"邹城"	"CN101120711"
"849"	"103"	"泰安"	"CN101120801"
"850"	"103"	"新泰"	"CN101120802"
"851"	"103"	"肥城"	"CN101120804"
"852"	"103"	"东平"	"CN101120805"
"853"	"103"	"宁阳"	"CN101120806"
"854"	"104"	"临沂"	"CN101120901"
"855"	"104"	"莒南"	"CN101120902"
"856"	"104"	"沂南"	"CN101120903"
"857"	"104"	"兰陵"	"CN101120904"
"858"	"104"	"临沭"	"CN101120905"
"859"	"104"	"郯城"	"CN101120906"
"860"	"104"	"蒙阴"	"CN101120907"
"861"	"104"	"平邑"	"CN101120908"
"862"	"104"	"费县"	"CN101120909"
"863"	"104"	"沂水"	"CN101120910"
"864"	"105"	"菏泽"	"CN101121001"
"865"	"105"	"鄄城"	"CN101121002"
"866"	"105"	"郓城"	"CN101121003"
"867"	"105"	"东明"	"CN101121004"
"868"	"105"	"定陶"	"CN101121005"
"869"	"105"	"巨野"	"CN101121006"
"870"	"105"	"曹县"	"CN101121007"
"871"	"105"	"成武"	"CN101121008"
"872"	"105"	"单县"	"CN101121009"
"873"	"106"	"滨州"	"CN101121101"
"874"	"106"	"博兴"	"CN101121102"
"875"	"106"	"无棣"	"CN101121103"
"876"	"106"	"阳信"	"CN101121104"
"877"	"106"	"惠民"	"CN101121105"
"878"	"106"	"沾化"	"CN101121106"
"879"	"106"	"邹平"	"CN101121107"
"880"	"107"	"东营"	"CN101121201"
"881"	"107"	"河口"	"CN101121202"
"882"	"107"	"垦利"	"CN101121203"
"883"	"107"	"利津"	"CN101121204"
"884"	"107"	"广饶"	"CN101121205"
"885"	"108"	"威海"	"CN101121301"
"886"	"108"	"文登"	"CN101121302"
"887"	"108"	"荣成"	"CN101121303"
"888"	"108"	"乳山"	"CN101121304"
"889"	"108"	"成山头"	"CN101121305"
"890"	"108"	"石岛"	"CN101121306"
"891"	"109"	"枣庄"	"CN101121401"
"892"	"109"	"薛城"	"CN101121402"
"893"	"109"	"峄城"	"CN101121403"
"894"	"109"	"台儿庄"	"CN101121404"
"895"	"109"	"滕州"	"CN101121405"
"896"	"110"	"日照"	"CN101121501"
"897"	"110"	"五莲"	"CN101121502"
"898"	"110"	"莒县"	"CN101121503"
"899"	"111"	"莱芜"	"CN101121601"
"900"	"112"	"聊城"	"CN101121701"
"901"	"112"	"冠县"	"CN101121702"
"902"	"112"	"阳谷"	"CN101121703"
"903"	"112"	"高唐"	"CN101121704"
"904"	"112"	"茌平"	"CN101121705"
"905"	"112"	"东阿"	"CN101121706"
"906"	"112"	"临清"	"CN101121707"
"907"	"112"	"莘县"	"CN101121709"
"908"	"113"	"南京"	"CN101190101"
"909"	"113"	"溧水"	"CN101190102"
"910"	"113"	"高淳"	"CN101190103"
"911"	"113"	"江宁"	"CN101190104"
"912"	"113"	"六合"	"CN101190105"
"913"	"113"	"江浦"	"CN101190106"
"914"	"113"	"浦口"	"CN101190107"
"915"	"114"	"无锡"	"CN101190201"
"916"	"114"	"江阴"	"CN101190202"
"917"	"114"	"宜兴"	"CN101190203"
"918"	"114"	"锡山"	"CN101190204"
"919"	"115"	"镇江"	"CN101190301"
"920"	"115"	"丹阳"	"CN101190302"
"921"	"115"	"扬中"	"CN101190303"
"922"	"115"	"句容"	"CN101190304"
"923"	"115"	"丹徒"	"CN101190305"
"924"	"116"	"苏州"	"CN101190401"
"925"	"116"	"常熟"	"CN101190402"
"926"	"116"	"张家港"	"CN101190403"
"927"	"116"	"昆山"	"CN101190404"
"928"	"116"	"吴中"	"CN101190405"
"929"	"116"	"吴江"	"CN101190407"
"930"	"116"	"太仓"	"CN101190408"
"931"	"117"	"南通"	"CN101190501"
"932"	"117"	"海安"	"CN101190502"
"933"	"117"	"如皋"	"CN101190503"
"934"	"117"	"如东"	"CN101190504"
"935"	"117"	"启东"	"CN101190507"
"936"	"117"	"海门"	"CN101190508"
"937"	"117"	"通州"	"CN101190509"
"938"	"118"	"扬州"	"CN101190601"
"939"	"118"	"宝应"	"CN101190602"
"940"	"118"	"仪征"	"CN101190603"
"941"	"118"	"高邮"	"CN101190604"
"942"	"118"	"江都"	"CN101190605"
"943"	"118"	"邗江"	"CN101190606"
"944"	"119"	"盐城"	"CN101190701"
"945"	"119"	"响水"	"CN101190702"
"946"	"119"	"滨海"	"CN101190703"
"947"	"119"	"阜宁"	"CN101190704"
"948"	"119"	"射阳"	"CN101190705"
"949"	"119"	"建湖"	"CN101190706"
"950"	"119"	"东台"	"CN101190707"
"951"	"119"	"大丰"	"CN101190708"
"952"	"119"	"盐都"	"CN101190709"
"953"	"120"	"徐州"	"CN101190801"
"954"	"120"	"铜山"	"CN101190802"
"955"	"120"	"丰县"	"CN101190803"
"956"	"120"	"沛县"	"CN101190804"
"957"	"120"	"邳州"	"CN101190805"
"958"	"120"	"睢宁"	"CN101190806"
"959"	"120"	"新沂"	"CN101190807"
"960"	"121"	"淮安"	"CN101190901"
"961"	"121"	"金湖"	"CN101190902"
"962"	"121"	"盱眙"	"CN101190903"
"963"	"121"	"洪泽"	"CN101190904"
"964"	"121"	"涟水"	"CN101190905"
"965"	"121"	"淮阴区"	"CN101190906"
"966"	"121"	"淮安区"	"CN101190908"
"967"	"122"	"连云港"	"CN101191001"
"968"	"122"	"东海"	"CN101191002"
"969"	"122"	"赣榆"	"CN101191003"
"970"	"122"	"灌云"	"CN101191004"
"971"	"122"	"灌南"	"CN101191005"
"972"	"123"	"常州"	"CN101191101"
"973"	"123"	"溧阳"	"CN101191102"
"974"	"123"	"金坛"	"CN101191103"
"975"	"123"	"武进"	"CN101191104"
"976"	"124"	"泰州"	"CN101191201"
"977"	"124"	"兴化"	"CN101191202"
"978"	"124"	"泰兴"	"CN101191203"
"979"	"124"	"姜堰"	"CN101191204"
"980"	"124"	"靖江"	"CN101191205"
"981"	"125"	"宿迁"	"CN101191301"
"982"	"125"	"沭阳"	"CN101191302"
"983"	"125"	"泗阳"	"CN101191303"
"984"	"125"	"泗洪"	"CN101191304"
"985"	"125"	"宿豫"	"CN101191305"
"986"	"126"	"杭州"	"CN101210101"
"987"	"126"	"萧山"	"CN101210102"
"988"	"126"	"桐庐"	"CN101210103"
"989"	"126"	"淳安"	"CN101210104"
"990"	"126"	"建德"	"CN101210105"
"991"	"126"	"余杭"	"CN101210106"
"992"	"126"	"临安"	"CN101210107"
"993"	"126"	"富阳"	"CN101210108"
"994"	"127"	"湖州"	"CN101210201"
"995"	"127"	"长兴"	"CN101210202"
"996"	"127"	"安吉"	"CN101210203"
"997"	"127"	"德清"	"CN101210204"
"998"	"128"	"嘉兴"	"CN101210301"
"999"	"128"	"嘉善"	"CN101210302"
"1000"	"128"	"海宁"	"CN101210303"
"1001"	"128"	"桐乡"	"CN101210304"
"1002"	"128"	"平湖"	"CN101210305"
"1003"	"128"	"海盐"	"CN101210306"
"1004"	"129"	"宁波"	"CN101210401"
"1005"	"129"	"慈溪"	"CN101210403"
"1006"	"129"	"余姚"	"CN101210404"
"1007"	"129"	"奉化"	"CN101210405"
"1008"	"129"	"象山"	"CN101210406"
"1009"	"129"	"宁海"	"CN101210408"
"1010"	"129"	"北仑"	"CN101210410"
"1011"	"129"	"鄞州"	"CN101210411"
"1012"	"129"	"镇海"	"CN101210412"
"1013"	"130"	"绍兴"	"CN101210501"
"1014"	"130"	"诸暨"	"CN101210502"
"1015"	"130"	"上虞"	"CN101210503"
"1016"	"130"	"新昌"	"CN101210504"
"1017"	"130"	"嵊州"	"CN101210505"
"1018"	"131"	"台州"	"CN101210601"
"1019"	"131"	"玉环"	"CN101210603"
"1020"	"131"	"三门"	"CN101210604"
"1021"	"131"	"天台"	"CN101210605"
"1022"	"131"	"仙居"	"CN101210606"
"1023"	"131"	"温岭"	"CN101210607"
"1024"	"131"	"洪家"	"CN101210609"
"1025"	"131"	"临海"	"CN101210610"
"1026"	"131"	"椒江"	"CN101210611"
"1027"	"131"	"黄岩"	"CN101210612"
"1028"	"131"	"路桥"	"CN101210613"
"1029"	"132"	"温州"	"CN101210701"
"1030"	"132"	"泰顺"	"CN101210702"
"1031"	"132"	"文成"	"CN101210703"
"1032"	"132"	"平阳"	"CN101210704"
"1033"	"132"	"瑞安"	"CN101210705"
"1034"	"132"	"洞头"	"CN101210706"
"1035"	"132"	"乐清"	"CN101210707"
"1036"	"132"	"永嘉"	"CN101210708"
"1037"	"132"	"苍南"	"CN101210709"
"1038"	"133"	"丽水"	"CN101210801"
"1039"	"133"	"遂昌"	"CN101210802"
"1040"	"133"	"龙泉"	"CN101210803"
"1041"	"133"	"缙云"	"CN101210804"
"1042"	"133"	"青田"	"CN101210805"
"1043"	"133"	"云和"	"CN101210806"
"1044"	"133"	"庆元"	"CN101210807"
"1045"	"133"	"松阳"	"CN101210808"
"1046"	"133"	"景宁"	"CN101210809"
"1047"	"134"	"金华"	"CN101210901"
"1048"	"134"	"浦江"	"CN101210902"
"1049"	"134"	"兰溪"	"CN101210903"
"1050"	"134"	"义乌"	"CN101210904"
"1051"	"134"	"东阳"	"CN101210905"
"1052"	"134"	"武义"	"CN101210906"
"1053"	"134"	"永康"	"CN101210907"
"1054"	"134"	"磐安"	"CN101210908"
"1055"	"135"	"衢州"	"CN101211001"
"1056"	"135"	"常山"	"CN101211002"
"1057"	"135"	"开化"	"CN101211003"
"1058"	"135"	"龙游"	"CN101211004"
"1059"	"135"	"江山"	"CN101211005"
"1060"	"135"	"衢江"	"CN101211006"
"1061"	"136"	"舟山"	"CN101211101"
"1062"	"136"	"嵊泗"	"CN101211102"
"1063"	"136"	"岱山"	"CN101211104"
"1064"	"136"	"普陀"	"CN101211105"
"1065"	"136"	"定海"	"CN101211106"
"1066"	"137"	"福州"	"CN101230101"
"1067"	"137"	"闽清"	"CN101230102"
"1068"	"137"	"闽侯"	"CN101230103"
"1069"	"137"	"罗源"	"CN101230104"
"1070"	"137"	"连江"	"CN101230105"
"1071"	"137"	"永泰"	"CN101230107"
"1072"	"137"	"平潭"	"CN101230108"
"1073"	"137"	"长乐"	"CN101230110"
"1074"	"137"	"福清"	"CN101230111"
"1075"	"138"	"钓鱼岛"	"CN101231001"
"1076"	"139"	"厦门"	"CN101230201"
"1077"	"139"	"同安"	"CN101230202"
"1078"	"140"	"宁德"	"CN101230301"
"1079"	"140"	"古田"	"CN101230302"
"1080"	"140"	"霞浦"	"CN101230303"
"1081"	"140"	"寿宁"	"CN101230304"
"1082"	"140"	"周宁"	"CN101230305"
"1083"	"140"	"福安"	"CN101230306"
"1084"	"140"	"柘荣"	"CN101230307"
"1085"	"140"	"福鼎"	"CN101230308"
"1086"	"140"	"屏南"	"CN101230309"
"1087"	"141"	"莆田"	"CN101230401"
"1088"	"141"	"仙游"	"CN101230402"
"1089"	"141"	"秀屿"	"CN101230403"
"1090"	"141"	"涵江"	"CN101230404"
"1091"	"141"	"秀屿港"	"CN101230405"
"1092"	"141"	"荔城"	"CN101230406"
"1093"	"141"	"城厢"	"CN101230407"
"1094"	"142"	"泉州"	"CN101230501"
"1095"	"142"	"安溪"	"CN101230502"
"1096"	"142"	"永春"	"CN101230504"
"1097"	"142"	"德化"	"CN101230505"
"1098"	"142"	"南安"	"CN101230506"
"1099"	"142"	"崇武"	"CN101230507"
"1100"	"142"	"惠安"	"CN101230508"
"1101"	"142"	"晋江"	"CN101230509"
"1102"	"142"	"石狮"	"CN101230510"
"1103"	"143"	"漳州"	"CN101230601"
"1104"	"143"	"长泰"	"CN101230602"
"1105"	"143"	"南靖"	"CN101230603"
"1106"	"143"	"平和"	"CN101230604"
"1107"	"143"	"龙海"	"CN101230605"
"1108"	"143"	"漳浦"	"CN101230606"
"1109"	"143"	"诏安"	"CN101230607"
"1110"	"143"	"东山"	"CN101230608"
"1111"	"143"	"云霄"	"CN101230609"
"1112"	"143"	"华安"	"CN101230610"
"1113"	"144"	"龙岩"	"CN101230701"
"1114"	"144"	"长汀"	"CN101230702"
"1115"	"144"	"连城"	"CN101230703"
"1116"	"144"	"武平"	"CN101230704"
"1117"	"144"	"上杭"	"CN101230705"
"1118"	"144"	"永定"	"CN101230706"
"1119"	"144"	"漳平"	"CN101230707"
"1120"	"145"	"三明"	"CN101230801"
"1121"	"145"	"宁化"	"CN101230802"
"1122"	"145"	"清流"	"CN101230803"
"1123"	"145"	"泰宁"	"CN101230804"
"1124"	"145"	"将乐"	"CN101230805"
"1125"	"145"	"建宁"	"CN101230806"
"1126"	"145"	"明溪"	"CN101230807"
"1127"	"145"	"沙县"	"CN101230808"
"1128"	"145"	"尤溪"	"CN101230809"
"1129"	"145"	"永安"	"CN101230810"
"1130"	"145"	"大田"	"CN101230811"
"1131"	"146"	"南平"	"CN101230901"
"1132"	"146"	"顺昌"	"CN101230902"
"1133"	"146"	"光泽"	"CN101230903"
"1134"	"146"	"邵武"	"CN101230904"
"1135"	"146"	"武夷山"	"CN101230905"
"1136"	"146"	"浦城"	"CN101230906"
"1137"	"146"	"建阳"	"CN101230907"
"1138"	"146"	"松溪"	"CN101230908"
"1139"	"146"	"政和"	"CN101230909"
"1140"	"146"	"建瓯"	"CN101230910"
"1141"	"147"	"南昌"	"CN101240101"
"1142"	"147"	"新建"	"CN101240102"
"1143"	"147"	"南昌县"	"CN101240103"
"1144"	"147"	"安义"	"CN101240104"
"1145"	"147"	"进贤"	"CN101240105"
"1146"	"148"	"九江"	"CN101240201"
"1147"	"148"	"瑞昌"	"CN101240202"
"1148"	"148"	"庐山"	"CN101240203"
"1149"	"148"	"武宁"	"CN101240204"
"1150"	"148"	"德安"	"CN101240205"
"1151"	"148"	"永修"	"CN101240206"
"1152"	"148"	"湖口"	"CN101240207"
"1153"	"148"	"彭泽"	"CN101240208"
"1154"	"148"	"星子"	"CN101240209"
"1155"	"148"	"都昌"	"CN101240210"
"1156"	"148"	"修水"	"CN101240212"
"1157"	"149"	"上饶"	"CN101240301"
"1158"	"149"	"鄱阳"	"CN101240302"
"1159"	"149"	"婺源"	"CN101240303"
"1160"	"149"	"余干"	"CN101240305"
"1161"	"149"	"万年"	"CN101240306"
"1162"	"149"	"德兴"	"CN101240307"
"1163"	"149"	"上饶县"	"CN101240308"
"1164"	"149"	"弋阳"	"CN101240309"
"1165"	"149"	"横峰"	"CN101240310"
"1166"	"149"	"铅山"	"CN101240311"
"1167"	"149"	"玉山"	"CN101240312"
"1168"	"149"	"广丰"	"CN101240313"
"1169"	"150"	"抚州"	"CN101240401"
"1170"	"150"	"广昌"	"CN101240402"
"1171"	"150"	"乐安"	"CN101240403"
"1172"	"150"	"崇仁"	"CN101240404"
"1173"	"150"	"金溪"	"CN101240405"
"1174"	"150"	"资溪"	"CN101240406"
"1175"	"150"	"宜黄"	"CN101240407"
"1176"	"150"	"南城"	"CN101240408"
"1177"	"150"	"南丰"	"CN101240409"
"1178"	"150"	"黎川"	"CN101240410"
"1179"	"150"	"东乡"	"CN101240411"
"1180"	"151"	"宜春"	"CN101240501"
"1181"	"151"	"铜鼓"	"CN101240502"
"1182"	"151"	"宜丰"	"CN101240503"
"1183"	"151"	"万载"	"CN101240504"
"1184"	"151"	"上高"	"CN101240505"
"1185"	"151"	"靖安"	"CN101240506"
"1186"	"151"	"奉新"	"CN101240507"
"1187"	"151"	"高安"	"CN101240508"
"1188"	"151"	"樟树"	"CN101240509"
"1189"	"151"	"丰城"	"CN101240510"
"1190"	"152"	"吉安"	"CN101240601"
"1191"	"152"	"吉安县"	"CN101240602"
"1192"	"152"	"吉水"	"CN101240603"
"1193"	"152"	"新干"	"CN101240604"
"1194"	"152"	"峡江"	"CN101240605"
"1195"	"152"	"永丰"	"CN101240606"
"1196"	"152"	"永新"	"CN101240607"
"1197"	"152"	"井冈山"	"CN101240608"
"1198"	"152"	"万安"	"CN101240609"
"1199"	"152"	"遂川"	"CN101240610"
"1200"	"152"	"泰和"	"CN101240611"
"1201"	"152"	"安福"	"CN101240612"
"1202"	"152"	"宁冈"	"CN101240613"
"1203"	"153"	"赣州"	"CN101240701"
"1204"	"153"	"崇义"	"CN101240702"
"1205"	"153"	"上犹"	"CN101240703"
"1206"	"153"	"南康"	"CN101240704"
"1207"	"153"	"大余"	"CN101240705"
"1208"	"153"	"信丰"	"CN101240706"
"1209"	"153"	"宁都"	"CN101240707"
"1210"	"153"	"石城"	"CN101240708"
"1211"	"153"	"瑞金"	"CN101240709"
"1212"	"153"	"于都"	"CN101240710"
"1213"	"153"	"会昌"	"CN101240711"
"1214"	"153"	"安远"	"CN101240712"
"1215"	"153"	"全南"	"CN101240713"
"1216"	"153"	"龙南"	"CN101240714"
"1217"	"153"	"定南"	"CN101240715"
"1218"	"153"	"寻乌"	"CN101240716"
"1219"	"153"	"兴国"	"CN101240717"
"1220"	"153"	"赣县"	"CN101240718"
"1221"	"154"	"景德镇"	"CN101240801"
"1222"	"154"	"乐平"	"CN101240802"
"1223"	"154"	"浮梁"	"CN101240803"
"1224"	"155"	"萍乡"	"CN101240901"
"1225"	"155"	"莲花"	"CN101240902"
"1226"	"155"	"上栗"	"CN101240903"
"1227"	"155"	"安源"	"CN101240904"
"1228"	"155"	"芦溪"	"CN101240905"
"1229"	"155"	"湘东"	"CN101240906"
"1230"	"156"	"新余"	"CN101241001"
"1231"	"156"	"分宜"	"CN101241002"
"1232"	"157"	"鹰潭"	"CN101241101"
"1233"	"157"	"余江"	"CN101241102"
"1234"	"157"	"贵溪"	"CN101241103"
"1235"	"158"	"合肥"	"CN101220101"
"1236"	"158"	"长丰"	"CN101220102"
"1237"	"158"	"肥东"	"CN101220103"
"1238"	"158"	"肥西"	"CN101220104"
"1239"	"158"	"巢湖"	"CN101220105"
"1240"	"158"	"庐江"	"CN101220106"
"1241"	"159"	"蚌埠"	"CN101220201"
"1242"	"159"	"怀远"	"CN101220202"
"1243"	"159"	"固镇"	"CN101220203"
"1244"	"159"	"五河"	"CN101220204"
"1245"	"160"	"芜湖"	"CN101220301"
"1246"	"160"	"繁昌"	"CN101220302"
